,Unnamed: 0,Nama,Lembaga,Unit Kerja,Jabatan,Tanggal Lapor,Jenis Lapor,Kekayaan
125,125,R. SEBASTIAN,PT PERTAMINA (PERSERO),SUB HOLDING UPSTREAM,SR GEOSCIENTIST EXPLORATION,10 November 2021,"Khusus, Awal Menjabat",4124403687
126,126,AGUNG BUDI ATMAJI,PT PERTAMINA (PERSERO),SUB HOLDING UPSTREAM,SENIOR LEGAL COUNSEL OPERATIONS & PARTNERSHIP,2 September 2021,"Khusus, Awal Menjabat",2767692792
127,127,IDHA WAHYU WINDARTI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PENGAWAS FARMASI DAN MAKANAN,23 Februari 2021,"Khusus, Awal Menjabat",308534177
128,128,SRI PRASWIJANTI,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,KEPALA BAGIAN TATA USAHA,31 Desember 2020,Periodik,558676518
129,129,AFFRIO SUNARNO,PEMERINTAH KOTA YOGYAKARTA,KEMANTREN,MANTRI PAMONG PRAJA,26 Maret 2021,"Khusus, Awal Menjabat",81372000
130,130,EDY HERI SUASANA,PEMERINTAH KOTA YOGYAKARTA,SEKRETARIAT DAERAH,ASISTEN BIDANG UMUM,31 Desember 2020,Periodik,1615572857
131,131,HAMENGKU BUWONO X,PEMERINTAH DAERAH D.I. YOGYAKARTA,PIMPINAN TERTINGGI,GUBERNUR,31 Desember 2020,Periodik,23033208603
132,132,ANON SUNEKO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,INSTITUT SENI INDONESIA YOGYAKARTA,SEKRETARIS JURUSAN KARAWITAN MERANGKAP SEKRETARIS PROGRAM STUDI KARAWITAN,31 Desember 2020,"Khusus, Awal Menjabat",863583000
133,133,KRISNADI SETYAWAN,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,31 Desember 2020,Periodik,282455000
134,134,DHIRGO AJI,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS GADJAH MADA,KETUA DEPARTEMEN ILMU BEDAH,25 Februari 2021,"Khusus, Awal Menjabat",1403417210
135,135,TYAS UTAMI,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS GADJAH MADA,KETUA DEPARTEMEN TEKNOLOGI PANGAN DAN HASIL PERTANIAN,2 Maret 2021,"Khusus, Awal Menjabat",841571822
136,136,FREDDY ROESTHODY HENDRAWAN,KEJAKSAAN REPUBLIK INDONESIA,JAKSA AGUNG MUDA BIDANG TINDAK PIDANA KHUSUS,JAKSA FUNGSIONAL,31 Desember 2020,Periodik,-43000000
137,137,SUPAHAR,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS NEGERI YOGYAKARTA,KOORDINATOR PROGRAM STUDI PENDIDIKAN FISIKA S-1,31 Desember 2020,"Khusus, Awal Menjabat",3225830107
138,138,R. M. PRAMUTOMO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,INSTITUT SENI INDONESIA SURAKARTA,WAKIL REKTOR III,31 Desember 2020,Periodik,1741702896
139,139,RIFKI LISTIANTO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI AMANAT NASIONAL,ANGGOTA DPRD,31 Desember 2020,Periodik,520530680
140,140,TITO ASUNG KUMORO WICAKSONO,PEMERINTAH DAERAH D.I. YOGYAKARTA,"DINAS PEKERJAAN UMUM, PERUMAHAN DAN ENERGI SUMBER DAYA MINERAL",KEPALA BIDANG,31 Desember 2020,Periodik,8829230911
141,141,LAKSMI HAYU PAWERTI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI JAWA TENGAH,JAKSA FUNGSIONAL,31 Desember 2020,Periodik,-37700000
142,142,DIAN MUTIANINGRUM,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PENANGGULANGAN BENCANA DAERAH,KEPALA SUB BIDANG LOGISTIK,31 Desember 2020,"Khusus, Awal Menjabat",382671329
143,143,KRISMA PERWITA SARI,"PT JASA MARGA (PERSERO), TBK.",DIREKTORAT UTAMA,AUDITOR,31 Desember 2020,"Khusus, Awal Menjabat",830054625
144,144,FERRI FARKHAN KURNIAWAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS GADJAH MADA,KEPALA SUBDIREKTORAT PERENCANAAN KINERJA AKADEMIK DAN KEMITRAAN,31 Desember 2020,"Khusus, Awal Menjabat",1065515945
145,145,KISMIANTINI,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS NEGERI YOGYAKARTA,KOORDINATOR PROGRAM STUDI STATISTIKA,31 Desember 2020,"Khusus, Awal Menjabat",1108638931
146,146,ADI PURWANTO AR,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS BANGKA BELITUNG,KEPALA SUB BAGIAN HUKUM DAN TATA LAKSANA BPKKU,31 Desember 2020,Periodik,239200000
147,147,HENDRA AHMAD FIRDAUS,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,INSPEKTUR NAVIGASI PENERBANGAN LEVEL IV,31 Desember 2020,Periodik,1662240797
148,148,LILIK SUTIARSO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS GADJAH MADA,KETUA DEPARTEMEN TEKNIK PERTANIAN DAN BIOSISTEM,29 Maret 2021,"Khusus, Awal Menjabat",1292621731
149,149,BAMBANG SUGIARTO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,KEPALA PUSAT KULIAH KERJA NYATA DAN TEKNOLOGI TEPAT GUNA,31 Desember 2020,"Khusus, Awal Menjabat",878829744
150,150,NIZAR ABDILLAH MUFTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO,PELAKSANA,31 Desember 2020,Periodik,85120583
151,151,MAYA HENNY HITIJAHUBESSY,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH BANTEN,PEJABAT PEMBUAT KOMITMEN,5 Januari 2021,"Khusus, Awal Menjabat",657500000
152,152,AHMAD MUFARIS,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI NASIONAL DEMOKRAT,ANGGOTA DPRD,31 Desember 2020,Periodik,-377647760
153,153,PURWASTYA PRATMAJAYA A L,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,INSTITUT SENI INDONESIA SURAKARTA,SEKRETARIS JURUSAN SENI MEDIA REKAM,31 Desember 2020,Periodik,-52000000
154,154,KUJI MURTININGRUM,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL SUMBER DAYA AIR,KEPALA SATUAN KERJA,31 Desember 2020,Periodik,452500000
155,155,MEDDY YOGASTORO,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,FLIGHT OPERATION INSPECTOR (FOI) LEVEL IV,31 Desember 2020,Periodik,1334750000
156,156,DIAN RAHMAWATI,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAM JAWA TENGAH,BENDAHARA DAN/ATAU PEJABAT PENGELOLA KEUANGAN,31 Desember 2020,"Khusus, Awal Menjabat",402425
157,157,DHINI ASTARINI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL CIPTA KARYA,BENDAHARA,31 Desember 2020,Periodik,357650000
158,158,HASTIONO ADI PRANOTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA MADYA,31 Desember 2020,Periodik,959519263
159,159,ELLA GUNADIA RATNA DEWI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI D.I. YOGYAKARTA,JAKSA FUNGSIONAL,31 Desember 2020,Periodik,20599031
160,160,SETYAWATI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,KEPALA BIDANG,31 Desember 2020,Periodik,50554934
161,161,YOPIE WIRAWAN ADIBRATA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2020,Periodik,2526066526
162,162,RYANTO TRI NOEGROHO,PEMERINTAH KOTA YOGYAKARTA,KECAMATAN,CAMAT,31 Desember 2020,"Khusus, Akhir Menjabat",50000000
163,163,SIGIT WICAKSONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI NASIONAL DEMOKRAT,ANGGOTA DPRD,31 Desember 2020,Periodik,248036160
164,164,MINATI GAYUH LUHURI,PEMERINTAH PROVINSI DKI JAKARTA,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,PELAKSANA,31 Desember 2020,Periodik,2579485458
165,165,INDAH MUNAINI,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KEPALA URUSAN KEUANGAN (KAURKEU),31 Desember 2020,Periodik,858422006
166,166,ARIYANTI LUHUR TRI SETYARINI,PEMERINTAH DAERAH D.I. YOGYAKARTA,PANIRADYA KAISTIMEWAN,KEPALA BAGIAN,31 Desember 2020,Periodik,172363273
167,167,CAHYA WIDI,PT BANK BPD DIY,WAKIL PIMPINAN,DIREKTUR UMUM,31 Desember 2020,Periodik,14472361504
168,168,SUMINARSINAH,PEMERINTAH PROVINSI JAWA TIMUR,SEKRETARIAT DAERAH,PENGELOLA PENGADAAN BARANG/JASA,31 Desember 2020,Periodik,818625645
169,169,VIDYA HAYUNINGTYAS,BADAN PUSAT STATISTIK (BPS),BADAN PUSAT STATISTIK PROVINSI DI YOGYAKARTA,PEJABAT PENGADAAN BARANG DAN JASA (PPBJ),31 Desember 2020,Periodik,247785794
170,170,ANDAYANI KUMALADEWI,BANK INDONESIA (BI),DEPARTEMEN PENGELOLAAN MONETER,ANALIS,31 Desember 2020,Periodik,1178445591
171,171,NUR MUSLIMAH,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KAURKEU SPN SELOPAMIORO,31 Desember 2020,Periodik,368034493
172,172,LAURENTIUS ERNAWAN EDY HARTANTO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN TATA USAHA,31 Desember 2020,"Khusus, Akhir Menjabat",298600000
173,173,RIZMAH NURCHASANAH,BANK INDONESIA (BI),KPW PROVINSI DIY,ANALIS,31 Desember 2020,Periodik,6807616145
174,174,SRI MURYUWANTINI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,KEPALA DINAS,31 Desember 2020,Periodik,2599788798
175,175,AMALA MORENTI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA II,PEMERIKSA MADYA,31 Desember 2020,Periodik,786280338
176,176,EDUWARD,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA MADYA,31 Desember 2020,Periodik,2697704951
177,177,M. NUR RACHMAT,PT ASDP INDONESIA FERRY (PERSERO),DIREKTORAT KOMERSIAL,MANAGER PENYEBERANGAN KOMERSIAL,31 Desember 2020,Periodik,-55000000
178,178,ESTI SASANTI,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGAWAS PERBANKAN III,DIREKTUR - DEPARTEMEN PENGAWASAN BANK SYARIAH,31 Desember 2020,Periodik,3364500000
179,179,WISNU INDARTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA BARAT,PEMERIKSA MUDA,31 Desember 2020,Periodik,5497875921
180,180,NAWAN DJUHATMOKO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SEKSI SARANA MEDIK,31 Desember 2020,"Khusus, Akhir Menjabat",1182705293
181,181,GUSTI KANJENG RATU HEMAS,DEWAN PERWAKILAN DAERAH (DPD),PERWAKILAN PROVINSI D.I. YOGYAKARTA,ANGGOTA DPD RI,31 Desember 2020,Periodik,81648577283
182,182,DANANG WAHYU BROTO,DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA,FRAKSI PARTAI GERINDRA,KETUA FRAKSI,31 Desember 2020,Periodik,4649713184
183,183,SUKCI HIRAWATI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA IV,PEMERIKSA MADYA,31 Desember 2020,Periodik,1059958898
184,184,PADMONO ANGGORO PRASETYO,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEBUDAYAAN,KEPALA SEKSI DOKUMENTASI DAN INFORMASI SENI BUDAYA,31 Desember 2020,Periodik,1786632555
185,185,IDE WINARSWASEPTA ENDARMOYO,PEMERINTAH KOTA YOGYAKARTA,INSPEKTORAT DAERAH,AUDITOR PERTAMA,31 Desember 2020,Periodik,6458070486
186,186,HARI KUSUMA SETIA NEGARA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KEPALA SEKSI PENYIDIKAN,31 Desember 2020,Periodik,2127017004
187,187,EKO HARIYATNO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SEKSI KERJA SAMA DAN HUBUNGAN MASYARAKAT,31 Desember 2020,Periodik,1057692400
188,188,NOVI RIADHI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2020,Periodik,3487644972
189,189,DIANITA APRILIA WULANDARI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ACCOUNT REPRESENTATIVE,31 Desember 2020,"Khusus, Awal Menjabat",582906000
190,190,NOOR HARSYA ARYO S,BADAN PENGAWAS PEMILIHAN UMUM,BADAN PENGAWAS PEMILIHAN UMUM PROVINSI D.I. YOGYAKARTA,ANGGOTA,31 Desember 2020,Periodik,2165800000
191,191,ROMADHANI BAYU KUSUMA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,BENDAHARA,31 Desember 2020,Periodik,152247065
192,192,DESIWANTI ASTUTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SEKSI PEMERIKSAAN,31 Desember 2020,Periodik,380200130
193,193,ANASTASIA NOVYC VERNANDA,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),"DEPUTI BIDANG PENGAWASAN OBAT TRADISIONAL, SUPLEMEN KESEHATAN, DAN KOSMETIK",PENGAWAS FARMASI DAN MAKANAN,31 Desember 2020,Periodik,150000000
194,194,MUHAMMAD DAHLAN SALEH,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA BAGIAN UMUM,31 Desember 2020,Periodik,4850586243
195,195,HENI KARTIKAWATI,KEMENTERIAN KEUANGAN,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,KEPALA PUSAT PENDIDIKAN DAN PELATIHAN KEUANGAN UMUM,31 Desember 2020,Periodik,4850586243
196,196,SUSAN ANANTI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN EVALUASI DAN PELAPORAN,31 Desember 2020,"Khusus, Akhir Menjabat",1805390569
197,197,ALISE KURNIARINI FADLILA,BANK INDONESIA (BI),DEPARTEMEN PENGADAAN STRATEGIS,ANALIS,31 Desember 2020,Periodik,318220895
198,198,MONIKA NUR LASTIYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS PERPUSTAKAAN DAN ARSIP DAERAH,KEPALA DINAS,31 Desember 2020,Periodik,1804034500
199,199,ASDO ARTRIVIYANTO,PT KERETA API INDONESIA (PERSERO),DAERAH OPERASI,EXECUTIVE VICE PRESIDENT DAERAH OPERASI 6 YOGYAKARTA,31 Desember 2020,Periodik,144124132
200,200,NOVIERA SARASATI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PEJABAT PENGUJI SURAT PERINTAH MEMBAYAR,31 Desember 2020,Periodik,408073318
201,201,EVIE FRIDINA SUSAN,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PERWAKILAN BPKP PROVINSI DAERAH ISTIMEWA YOGYAKARTA,AUDITOR MADYA,31 Desember 2020,Periodik,193784676
202,202,OKTIANA DWI ASTUTI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PENYIDIK PEGAWAI NEGERI SIPIL,31 Desember 2020,Periodik,453055793
203,203,WARTONO,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D. I. YOGYAKARTA,KEPALA KEPOLISIAN SEKTOR PANDAK,31 Desember 2020,Periodik,800330000
204,204,ILHAM WICAKSONO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2020,Periodik,634850000
205,205,CHRISTINA CANDRASARI INDRIATMO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ACCOUNT REPRESENTATIVE,31 Desember 2020,Periodik,-246633946
206,206,AGUS PURWANTO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,"DIREKTORAT JENDERAL PENDIDIKAN ANAK USIA DINI, PENDIDIKAN DASAR, DAN PENDIDIKAN MENENGAH",PANITIA PENGADAAN BARANG/JASA,31 Desember 2020,Periodik,817400000
207,207,LAKSANA JATI JAYA,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,KEPALA SEKSI PEMANFAATAN,31 Desember 2020,Periodik,816719255
208,208,LAILY FITRIA TITIN ANUGRAHWATI,MAHKAMAH AGUNG,PENGADILAN TINGGI SEMARANG,HAKIM,31 Desember 2020,Periodik,765750000
209,209,RR GARNETTA MUSTIKANINGRUM,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM DKI JAKARTA,PENGAWAS FARMASI DAN MAKANAN,31 Desember 2020,Periodik,162005380
210,210,ASTI WIJAYANTI,PEMERINTAH KABUPATEN GUNUNG KIDUL,DINAS PARIWISATA,KEPALA DINAS PARIWISATA,31 Desember 2020,Periodik,570473708
211,211,R. KRISMA EKA PUTRA,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,31 Desember 2020,Periodik,251850000
212,212,BAGAS RAEDIANTO,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGAWAS PERBANKAN I,STAF - DIREKTORAT PENGAWASAN BANK SYARIAH,31 Desember 2020,Periodik,1055211952
213,213,RINI MAYANGSARI,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA PERTAMA,31 Desember 2020,Periodik,222533181
214,214,CHRESTINA ERNI WIDYASTUTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERENCANAAN PEMBANGUNAN DAERAH,KEPALA BIDANG,31 Desember 2020,Periodik,266713495
215,215,RIRIN HERINI EVILISTYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERENCANAAN PEMBANGUNAN DAERAH,KEPALA SEKSI DATA DAN STATISTIK,31 Desember 2020,Periodik,306793759
216,216,RIDIAN JUNATA,PT PERUSAHAAN GAS NEGARA TBK,PT PERUSAHAAN GAS NEGARA TBK,SR. ANALYST,31 Desember 2020,Periodik,2709984313
217,217,SUPRIHATIN,PEMERINTAH DAERAH D.I. YOGYAKARTA,BIRO BINA MENTAL SPIRITUAL,KEPALA SUB BAGIAN ANALIS KEBIJAKAN PELAYANAN KESEHATAN,31 Desember 2020,Periodik,26846000
218,218,ISROWIYAH,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D. I. YOGYAKARTA,KEPALA KEPOLISIAN SEKTOR KRATON,31 Desember 2020,Periodik,-43650000
219,219,ENDAH SUMARTINI,PEMERINTAH DAERAH D.I. YOGYAKARTA,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",KEPALA SUB BAGIAN TATA USAHA,31 Desember 2020,Periodik,1331394339
220,220,IMAM SUTOPO,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI MALUKU UTARA,KOORDINATOR,31 Desember 2020,Periodik,1300000000
221,221,MARIA EVI RATNAWATI,BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL (BKKBN),DEPUTI BIDANG KELUARGA BERENCANA DAN KESEHATAN REPRODUKSI,DIREKTUR,31 Desember 2020,Periodik,2106440798
222,222,TANTRI AMBARSARI,PEMERINTAH PROVINSI JAWA TENGAH,DINAS PENDIDIKAN DAN KEBUDAYAAN,KEPALA SMA NEGERI 1 BAYAT,31 Desember 2020,Periodik,2175454984
223,223,EFI SUMARLININGSIH,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL DAN TRANSMIGRASI","BADAN PENELITIAN DAN PENGEMBANGAN, PENDIDIKAN DAN PELATIHAN, DAN INFORMASI",KEPALA SEKSI PELATIHAN MASYARAKAT DESA,31 Desember 2020,Periodik,2191000000
224,224,MOCHAMAD HERY SALUGU,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL DAN TRANSMIGRASI","BADAN PENELITIAN DAN PENGEMBANGAN, PENDIDIKAN DAN PELATIHAN, DAN INFORMASI",KEPALA BAGIAN TATA USAHA,31 Desember 2020,Periodik,183878585
225,225,RIEFQI HANIEF,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA PERTAMA,31 Desember 2020,Periodik,1617272255
226,226,"WIKAN KANUGROHO,",PEMERINTAH KOTA MAGELANG,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK",KEPALA BIDANG,31 Desember 2020,Periodik,719200000
227,227,ALDISE DYAN RINI SYARIFA,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PERWAKILAN BPKP PROVINSI NUSA TENGGARA BARAT,AUDITOR PERTAMA,31 Desember 2020,Periodik,129518770
228,228,RAHMAT SETYAJI,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA PERTAMA,31 Desember 2020,Periodik,241326606
229,229,IKA HARTANTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS PERTANIAN DAN KETAHANAN PANGAN,KEPALA BIDANG,31 Desember 2020,Periodik,557500000
230,230,RADEN RORO SITI ASTUTI,KEMENTERIAN PERTANIAN,BADAN PENYULUHAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA PERTANIAN,PEJABAT PEMBUAT KOMITMEN,31 Desember 2020,Periodik,227117093
231,231,MENIK NILAWATI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,KEPALA BIDANG,31 Desember 2020,Periodik,6063408975
232,232,MARZHA TWEEDO DIKKY PARAANUGRAH,MAHKAMAH AGUNG,PENGADILAN TINGGI PALU,HAKIM,31 Desember 2020,Periodik,71000000
233,233,IRVAN MAWARDI,MAHKAMAH AGUNG,PENGADILAN TINGGI TATA USAHA NEGARA JAKARTA,HAKIM,31 Desember 2020,Periodik,958500000
234,234,RETNO DYAH PARWITASARI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,ANGGOTA SATUAN PENGAWAS INTERNAL,31 Desember 2020,Periodik,3135045725
235,235,MARIA DANASTRI,KOMISI PEMBERANTASAN KORUPSI (KPK),DEPUTI BIDANG PENCEGAHAN DAN MONITORING,SPESIALIS PEMERIKSA GRATIFIKASI MUDA,31 Desember 2020,Periodik,510306608
236,236,KARINA DISTA YULISTYA,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI SUMATERA SELATAN,PEMERIKSA PERTAMA,31 Desember 2020,Periodik,158139896
237,237,HANUNG INDARTO,MAHKAMAH AGUNG,PENGADILAN TINGGI YOGYAKARTA,PANITERA PENGGANTI,31 Desember 2020,Periodik,853206196
238,238,YUSTINUS KELIEK MULYONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2020,Periodik,55358213
239,239,MUHAMAD IQBAL FELANI,PT PERUSAHAAN LISTRIK NEGARA (PERSERO),PUSLITBANG,MSB SDM,31 Desember 2020,Periodik,1684728199
240,240,RUDI ANANTA WIJAYA,MAHKAMAH AGUNG,PENGADILAN TINGGI PEKANBARU,KETUA,31 Desember 2020,Periodik,2169395779
241,241,EDY HERI SUASANA,PEMERINTAH KOTA YOGYAKARTA,SEKRETARIAT DAERAH,ASISTEN BIDANG UMUM,31 Desember 2019,Periodik,1599445727
242,242,RM. KRISTIYADI,LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA,TVRI STASIUN D.I. YOGYAKARTA,KEPALA SEKSI PROGRAM,31 Desember 2019,Periodik,346500000
243,243,MEILINA ARI ARTINI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL SUMBER DAYA AIR,POKJA PENGADAAN BARANG/ JASA,31 Desember 2019,Periodik,-84000000
244,244,LAKSMI HAYU PAWERTI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI JAWA TENGAH,JAKSA FUNGSIONAL,31 Desember 2019,Periodik,-65700000
245,245,ELLA GUNADIA RATNA DEWI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI D.I. YOGYAKARTA,JAKSA FUNGSIONAL,31 Desember 2019,Periodik,91099031
246,246,DESIWANTI ASTUTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SEKSI PEMERIKSAAN,31 Desember 2019,Periodik,460626989
247,247,AHMAD MUFARIS,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI NASIONAL DEMOKRAT,ANGGOTA DPRD,31 Desember 2019,Periodik,-547100000
248,248,INDAH MUNAINI,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KEPALA URUSAN KEUANGAN (KAURKEU),20 Maret 2019,"Khusus, Awal Menjabat",983762868
249,249,MARZHA TWEEDO DIKKY PARAANUGRAH,MAHKAMAH AGUNG,PENGADILAN TINGGI PALU,HAKIM,9 Juni 2020,"Khusus, Awal Menjabat",52000000
